Class,Age,Day and Time,Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap Technique,,Thursday 4:30 - 5:30 ,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IIA,,Monday 3:30 - 4:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IIB,,Monday 4:30 - 5:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap IIC,,Monday 6:30 - 7:30,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap Technique,,Thursday 7:45 - 8:30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap III/IV,,Friday 6:45 - 7:45,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Bay Ballet Arts - Company Class,,Friday 3:30 - 5:00 ,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Blue Company,,Thursday 6:00 - 7:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Green Company,,Friday 6:45 - 7:45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Pink Company,,Saturday 11:00 - 12:00,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Red Company,,Saturday 1:00 - 2:00,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Dance Orange Company,,Saturday 1:00 - 2:00,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
